Person_id,Survey_date,Round,Status,Tenure,Geography,Province,Matric,Degree,Diploma,Schoolquintile,Math,Mathlit,Additional_lang,Home_lang,Science,Female,Sa_citizen,Birthyear,Birthmonth,Target,,,,
Id_eqz61wz7yn,2/23/2022,2,studying,,Rural,Mpumalanga,1,0,0,3,0 - 29 %,,50 - 59 %,,0 - 29 %,1,1,2000,5,0,,,,
Id_kj5k3g5wud,2/6/2023,4,unemployed,427,Suburb,North West,1,0,0,1,30 - 39 %,,40 - 49 %,,30 - 39 %,1,1,1989,4,1,,,,
Id_9h0isj38y4,8/8/2022,3,other,,Urban,Free State,1,0,0,,30 - 39 %,,40 - 49 %,,30 - 39 %,0,1,1996,7,1,,,,
Id_5ch3zwpdef,3/16/2022,2,unemployed,810,Urban,Eastern Cape,,,,,,,,,,0,1,2000,1,0,,,,
Id_g4elxibjej,3/22/2023,4,studying,,Urban,Limpopo,,,,,,,,,,1,1,1998,12,0,,,,
Id_l9uksprsdf,3/23/2023,4,studying,,Rural,KwaZulu-Natal,,,,,,,,,,1,1,1996,12,0,,,,
Id_o873eizyxq,2/28/2023,4,unemployed,1826,Urban,Mpumalanga,1,0,0,2,30 - 39 %,,60 - 69 %,,40 - 49 %,1,1,2000,1,0,,,,
Id_snwm3eylks,2/28/2023,4,unemployed,462,Urban,Mpumalanga,0,0,0,3,,,,,,0,1,1997,1,0,,,,
Id_xfbqnyzvov,2/9/2023,4,wage employed,273,Urban,KwaZulu-Natal,1,,,1,0 - 29 %,,60 - 69 %,,30 - 39 %,0,1,2000,1,0,,,,
Id_mj4hcy8x75,3/1/2023,4,self employed,1859,Rural,Limpopo,,,,,,,,,,0,1,1991,4,1,,,,
Id_h7gc4tnjg4,8/10/2022,3,other,,Urban,Gauteng,1,,,2,30 - 39 %,,50 - 59 %,,40 - 49 %,1,1,1999,9,1,,,,
Id_nnrpawrczv,2/23/2022,2,unemployed,736,Urban,Limpopo,1,,,1,30 - 39 %,,40 - 49 %,,30 - 39 %,1,1,1992,3,0,,,,
Id_x5fkg0l401,8/19/2021,1,studying,,Urban,KwaZulu-Natal,1,,,4,60 - 69 %,,60 - 69 %,,60 - 69 %,0,1,1998,9,1,,,,
Id_syk9ubb0fi,8/19/2021,1,wage employed,0,Suburb,Mpumalanga,0,,,1,,,,,,0,1,1987,12,0,,,,
Id_zaol8djev9,3/2/2022,2,unemployed,796,Urban,KwaZulu-Natal,1,,,,30 - 39 %,,70 - 79 %,,30 - 39 %,0,1,2000,12,0,,,,
Id_j028yx8q4y,8/18/2021,1,self employed,2181,Urban,Free State,1,0,0,3,,,40 - 49 %,,,1,1,1989,11,1,,,,
Id_0znjq6ybh6,7/28/2022,3,self employed,1527,Urban,Gauteng,1,0,0,5,,60 - 69 %,,40 - 49 %,,0,1,2000,5,1,,,,
Id_qwzzy053ij,2/28/2022,2,studying,,Urban,Free State,1,0,0,1,30 - 39 %,,30 - 39 %,,30 - 39 %,0,1,1994,6,1,,,,
Id_p9215a0s3n,8/12/2022,3,other,,Urban,Western Cape,1,,,,,40 - 49 %,60 - 69 %,,,1,1,1999,10,1,,,,
Id_qssqo87bxo,3/3/2022,2,unemployed,0,Urban,North West,1,0,0,1,,50 - 59 %,50 - 59 %,,,1,1,2000,1,1,,,,
Id_pasuq7vzqx,3/11/2022,2,unemployed,461,Rural,Mpumalanga,1,0,0,3,30 - 39 %,,50 - 59 %,,0 - 29 %,1,1,2000,1,0,,,,
Id_v9hd6vf2zj,2/15/2023,4,unemployed,2593,Urban,KwaZulu-Natal,0,0,0,,,,,,,1,1,1994,1,0,,,,
Id_sbqyyc6c6z,3/23/2023,4,studying,,Urban,KwaZulu-Natal,,,,,,,,,,1,1,1999,8,0,,,,
Id_icpsk4fk4m,2/20/2023,4,self employed,,Urban,Gauteng,1,0,0,4,,40 - 49 %,,40 - 49 %,,0,1,2001,3,0,,,,
Id_pk6yf9ymk9,3/8/2022,2,unemployed,1532,Rural,Gauteng,1,0,0,3,30 - 39 %,,60 - 69 %,,30 - 39 %,1,1,1993,11,0,,,,
Id_1vnhqk5dv4,8/11/2022,3,studying,,Urban,Gauteng,,,,,,,,,,0,1,2003,12,0,,,,
Id_a4g4inxt9b,8/3/2022,3,unemployed,217,Urban,KwaZulu-Natal,,,,,,,,,,1,1,1993,11,0,,,,
Id_mgs7xx0z7x,3/7/2022,2,employment programme,790,Urban,Gauteng,1,,,5,,60 - 69 %,,50 - 59 %,,0,1,2000,1,0,,,,
Id_zk43y06kue,3/22/2023,4,wage employed,641,Suburb,Limpopo,1,0,0,2,,40 - 49 %,50 - 59 %,,,1,1,1998,1,0,,,,
Id_q5p3xwzvgj,2/25/2022,2,unemployed,951,Urban,Eastern Cape,0,,,3,,,,,,0,1,1987,9,0,,,,
Id_la2wedbqnn,2/13/2023,4,wage employed,334,Rural,North West,1,0,0,,,30 - 39 %,50 - 59 %,,,1,1,2000,1,0,,,,
Id_dsokj518i3,2/9/2023,4,unemployed,250,Rural,Limpopo,,,,,,,,,,1,1,1997,9,0,,,,
Id_fvro19s1he,3/15/2023,4,studying,,Rural,Mpumalanga,1,1,0,,0 - 29 %,,60 - 69 %,,,1,1,2000,6,0,,,,
Id_2fqa1fu25o,8/11/2022,3,other,,Rural,KwaZulu-Natal,,,,,,,,,,0,1,1997,10,1,,,,
Id_agwy8xs4xf,3/15/2022,2,unemployed,827,Urban,Eastern Cape,1,0,0,3,,40 - 49 %,40 - 49 %,,,1,1,2000,1,0,,,,
Id_3gzmmiavue,8/19/2021,1,studying,,Rural,Limpopo,1,0,0,1,30 - 39 %,,50 - 59 %,,30 - 39 %,0,1,1992,1,1,,,,
Id_3q21nanivx,8/10/2022,3,other,,Rural,KwaZulu-Natal,1,0,0,0,,30 - 39 %,50 - 59 %,,,1,1,1988,10,1,,,,
Id_0rhx3682ay,3/14/2022,2,unemployed,522,Urban,KwaZulu-Natal,1,0,0,,40 - 49 %,,50 - 59 %,,30 - 39 %,1,1,2000,1,0,,,,
Id_1fw74rpdkq,8/13/2021,1,employment programme,0,Urban,Mpumalanga,1,,,4,,,,,,0,1,1993,8,0,,,,
Id_6o859785c2,2/24/2022,2,unemployed,1186,Urban,Gauteng,1,,,3,,30 - 39 %,40 - 49 %,,,1,1,1994,7,0,,,,
Id_7nma832cqs,2/9/2023,4,wage employed,61,Urban,Gauteng,1,,,4,,40 - 49 %,,40 - 49 %,,0,1,2000,1,0,,,,
Id_j2its5w6qo,2/8/2023,4,unemployed,401,Suburb,Limpopo,,,,,,,,,,0,1,2001,10,0,,,,
Id_daalwjcazp,2/13/2023,4,unemployed,67,Urban,KwaZulu-Natal,,,,,,,,,,0,1,2003,11,0,,,,
Id_wbnw35rvs2,3/7/2022,2,studying,,Urban,Western Cape,1,0,0,2,,50 - 59 %,40 - 49 %,,,0,1,2000,1,0,,,,
Id_gqbituoecf,2/13/2023,4,unemployed,67,Urban,KwaZulu-Natal,,,,,,,,,,0,1,2004,6,0,,,,
Id_levl92lmn7,2/10/2023,4,wage employed,304,Urban,Northern Cape,1,0,0,,,50 - 59 %,50 - 59 %,,,0,1,2000,1,1,,,,
Id_bjtvostcww,2/17/2023,4,unemployed,365,Urban,Gauteng,1,0,0,4,40 - 49 %,,50 - 59 %,,,0,1,2000,1,1,,,,
Id_yvzil0ca5k,8/11/2021,1,studying,,Urban,Gauteng,0,0,0,,,,,,,1,1,2000,4,1,,,,
Id_bqjzb9e2sp,3/18/2022,2,wage employed,125,Suburb,Limpopo,1,0,0,,30 - 39 %,,50 - 59 %,,50 - 59 %,0,1,2000,1,0,,,,
Id_trpadp7n0e,3/6/2023,4,studying,,Urban,Western Cape,0,0,0,3,,,,,,1,1,2004,8,0,,,,
Id_1krlaslg3m,2/13/2023,4,studying,,Urban,Eastern Cape,1,0,0,4,,40 - 49 %,50 - 59 %,,,0,1,1994,11,1,,,,
Id_5we1xxc82q,8/11/2022,3,other,,Rural,Limpopo,0,,,1,,,,,,0,1,1992,3,1,,,,
Id_h31135txix,2/23/2022,2,studying,,Urban,Gauteng,1,,,2,,0 - 29 %,,40 - 49 %,,1,1,2001,1,0,,,,
Id_7nq9t8h22c,3/11/2022,2,wage employed,119,Urban,Free State,1,0,0,,0 - 29 %,,50 - 59 %,,,1,1,2000,1,0,,,,
Id_60bak15b2g,8/1/2022,3,unemployed,583,Rural,Limpopo,1,0,0,2,,30 - 39 %,50 - 59 %,,,1,1,1999,5,0,,,,
Id_7zp71bqshg,2/8/2023,4,unemployed,401,Rural,Mpumalanga,1,0,0,,,60 - 69 %,40 - 49 %,,,0,1,2000,5,0,,,,
Id_m98a9kc6us,2/21/2023,4,unemployed,401,Rural,KwaZulu-Natal,1,0,0,3,,40 - 49 %,50 - 59 %,,,0,1,2002,7,0,,,,
Id_4hhmh7p1pe,2/7/2023,4,wage employed,396,Urban,Mpumalanga,1,,,4,30 - 39 %,,,50 - 59 %,0 - 29 %,1,1,2000,1,0,,,,
Id_yuwtc72lrc,2/22/2023,4,unemployed,707,Urban,KwaZulu-Natal,1,0,0,4,50 - 59 %,,60 - 69 %,,30 - 39 %,0,1,1996,8,0,,,,
Id_6jmt7mdvzq,7/29/2022,3,other,,Rural,Limpopo,0,,,,,,,,,0,1,1993,7,1,,,,
Id_fo3o68q6zj,2/13/2023,4,self employed,,Urban,North West,1,0,0,3,,40 - 49 %,30 - 39 %,,,0,1,2003,9,1,,,,
Id_h3g4kwf6sb,3/15/2022,2,unemployed,1205,Urban,Limpopo,1,1,0,1,,50 - 59 %,60 - 69 %,,,1,1,2000,1,0,,,,
Id_9r91y11bh9,8/10/2022,3,studying,,Urban,KwaZulu-Natal,1,0,0,2,30 - 39 %,,60 - 69 %,,30 - 39 %,1,1,2004,2,0,,,,
Id_u4psfhi3pe,3/3/2022,2,studying,,Urban,KwaZulu-Natal,1,0,1,4,0 - 29 %,,50 - 59 %,,,1,1,2000,1,0,,,,
Id_m0tzon3dlw,9/3/2022,3,unemployed,309,Urban,Gauteng,1,0,0,4,,50 - 59 %,40 - 49 %,,,1,1,1992,5,0,,,,
Id_spgk0jd93e,2/17/2023,4,wage employed,59,Urban,KwaZulu-Natal,1,0,0,4,0 - 29 %,,60 - 69 %,,0 - 29 %,1,1,2000,1,0,,,,
Id_bbahtzvpl8,8/19/2021,1,studying,,Urban,Eastern Cape,,,,,,,,,,0,1,2001,4,0,,,,
Id_adthc97v63,8/19/2021,1,studying,,Urban,Western Cape,,,,,,,,,,1,1,1999,10,0,,,,
Id_h3nbp8l8nx,3/8/2023,4,unemployed,2256,Rural,Limpopo,0,,,,,,,,,1,1,1994,6,0,,,,
Id_3edx8npgyr,3/14/2023,4,unemployed,2986,Rural,Northern Cape,0,0,0,,,,,,,1,1,1995,10,0,,,,
Id_sz50wmv0v6,3/2/2023,4,unemployed,184,Urban,Gauteng,1,,,1,0 - 29 %,,40 - 49 %,,0 - 29 %,1,1,2000,1,0,,,,
Id_nueyy3t7nh,3/2/2023,4,studying,,Urban,Gauteng,1,0,1,5,,40 - 49 %,,50 - 59 %,,1,1,2000,1,1,,,,
Id_zuvbs6aihl,8/8/2022,3,unemployed,644,Suburb,KwaZulu-Natal,1,1,0,3,80 - 100 %,,60 - 69 %,,70 - 79 %,0,1,1995,9,0,,,,
Id_5fr0lqothg,3/3/2022,2,studying,,Urban,Gauteng,1,,1,5,,60 - 69 %,,60 - 69 %,,1,1,2000,1,1,,,,
Id_bol3k3wkl1,2/13/2023,4,studying,,Urban,Gauteng,1,,,,40 - 49 %,,50 - 59 %,,40 - 49 %,0,1,2000,1,0,,,,
Id_dssc0ea0vi,2/8/2023,4,unemployed,273,Urban,KwaZulu-Natal,1,0,0,1,,60 - 69 %,50 - 59 %,,,0,1,2002,5,1,,,,
Id_0wc81ljcou,3/15/2022,2,studying,,Urban,KwaZulu-Natal,1,0,0,2,40 - 49 %,,60 - 69 %,,,1,1,2000,1,1,,,,
Id_fg3tli4uga,2/17/2023,4,wage employed,273,Urban,North West,1,0,0,2,,40 - 49 %,50 - 59 %,,,1,1,1997,3,0,,,,
Id_j86tj7hbal,8/18/2021,1,studying,,Urban,KwaZulu-Natal,1,,,3,0 - 29 %,,70 - 79 %,,,1,1,1993,12,0,,,,
Id_y0o8gpsdag,8/3/2022,3,unemployed,1984,Urban,KwaZulu-Natal,0,0,0,3,,,,,,1,1,1991,3,0,,,,
Id_n0wxp4yl7o,9/3/2022,3,unemployed,248,Suburb,Limpopo,1,0,0,2,,50 - 59 %,60 - 69 %,,,1,1,1998,11,0,,,,
Id_6xl6wv2mwd,3/4/2022,2,unemployed,798,Rural,KwaZulu-Natal,1,0,0,3,60 - 69 %,,60 - 69 %,,50 - 59 %,1,1,2000,1,0,,,,
Id_cebpdobvqm,3/27/2023,4,wage employed,31,Urban,Mpumalanga,,,,,,,,,,1,1,1994,5,0,,,,
Id_33k4yejdu7,7/29/2022,3,studying,,Suburb,Gauteng,1,0,0,3,50 - 59 %,,,50 - 59 %,30 - 39 %,1,1,2002,9,0,,,,
Id_q0t88re0xa,3/13/2023,4,unemployed,429,Urban,Free State,,,,,,,,,,1,1,1998,10,0,,,,
Id_lyb0hna28v,3/17/2022,2,wage employed,95,Urban,Western Cape,1,0,0,,,40 - 49 %,,40 - 49 %,,0,1,2000,1,1,,,,
