Person_id,Probability_Unemployed
Id_r90136smvl,0.94
Id_wawdqhmu6s,0.08
Id_ap2czff2bu,0.09
Id_uhgink7iha,0.15
Id_5j6bzk3k81,0.01
Id_r1njgsuhs9,0.02
Id_d9n59ghzjb,0.44
Id_vzab7oazqr,0.57
Id_nefqci92p8,0.04
Id_qqrnnetvxv,0.21
Id_7w2fd5w86s,0.04
Id_pzpuicll9c,0.02
Id_st3is8bql2,0.2
Id_qs1zt43xvu,0.02
Id_9cu0vdzh1m,0.11
Id_poxmo2d4pe,0.44
Id_lkbh7wwizt,0.21
Id_o33z7do9gv,0.5
Id_2g0jvhjt7m,0.52
Id_a8coh9dw38,0.58
Id_2qj0ah1psu,0.08
Id_kpvmehnz28,0.08
Id_mgltuwq5z6,0.92
Id_d4og0tu3n8,0.88
Id_yufvflupuk,0.15
Id_u0whg32wag,0.44
Id_xt0ryw5lj3,0.2
Id_b16iwbgm7h,0.19
Id_rw1mzpkmbh,0.05
Id_dh12ciw7aj,0.07
Id_ucc8nen4br,0.12
Id_zabfn6r9hy,0.32
Id_9316s6vbdf,0.06
Id_qj48ua0e71,0.3
Id_iev9vrtvwh,0.36
Id_gta8cmufua,0.47
Id_zd7zmjgmlh,0.0
Id_9xsxi3zkds,0.01
Id_vor2e80rle,0.09
Id_81faoo7jtd,0.0
Id_t8cshwbsx1,0.12
Id_ce7987x9yb,0.15
Id_vwbab4cxdn,0.2
Id_wlhdmq0y8v,0.02
Id_ijbnb5l2r7,0.03
Id_291krf6edr,0.19
Id_li6hmy2e8y,0.14
Id_ugqu9wfir4,0.0
Id_5mvhlc4oto,0.14
Id_omktaezr3k,0.11
Id_mp2omgupeg,0.84
Id_guxs9a9rp8,0.01
Id_owwgvlhtm2,0.25
Id_2phe5bonhr,0.01
Id_wxujl0skjo,0.13
Id_ezcagqsdoh,0.17
Id_3ojndwyspm,0.21
Id_di8dup17uk,0.04
Id_2s9fwx18nt,0.22
Id_gw0p5veuf2,0.16
Id_ul54vz814d,0.24
Id_fk01mum0zb,0.8
Id_i5ho67pyep,0.15
Id_04whybbwpy,0.07
Id_0qijiqqjfw,0.84
Id_ib78u6d1u5,0.31
Id_wil30h6uqo,0.14
Id_gco4s6s0y0,0.07
Id_i2zt2wyw67,0.0
Id_u6qzopxfoo,0.08
Id_9qhc9jmlw5,0.03
Id_3hqg13lpub,0.03
Id_xg69jmr988,0.4
Id_uf4nopfet5,0.08
Id_nvu0rx02yq,0.2
Id_wpetow3d86,0.02
Id_0b6micntbf,0.7
Id_t2hpqyerdd,0.1
Id_9w39fssh0z,0.02
Id_izf7avuyof,0.01
Id_horgi1i0h5,0.96
Id_c1ck3oamtf,0.05
Id_b97f46dlm4,0.08
Id_e7jnyu9nio,0.05
Id_6jis2dwfpf,0.2
Id_cwfw3jz8mn,0.03
Id_ckz41r5xnd,0.06
Id_0lddi6fymp,0.22
Id_qb6cvsj6d1,0.05
Id_mevy3q7025,0.32
Id_4f18c92qin,0.1
Id_70u1j9yxhw,0.23
Id_gmoiyj02t8,0.08
Id_eui0etibtj,0.08
Id_ml0shy5ndd,0.03
Id_ec2sjwcz91,0.17
Id_rjahjm0hug,0.02
Id_abyqg3tash,0.02
Id_lzos5ypdrm,0.27
Id_kdvnff0zsh,0.72
Id_86b4m22rpu,0.16
Id_x2hp46jgt7,0.03
Id_zpp3md8ezd,0.12
Id_e3b7m1pivk,0.08
Id_ylj1j29c2t,0.03
Id_4mqpa30io0,0.77
Id_gb6gbddvde,0.01
Id_33q9kspnhl,0.08
Id_spcfhi9ani,0.83
Id_3xhfl2dkwc,0.03
Id_capl79l0ck,0.12
Id_hize5ozuc7,0.24
Id_9e595qehvb,0.02
Id_mv3bdtgvrm,0.7
Id_sh6y5sognb,0.32
Id_otoztzpre0,0.05
Id_7lrax702sw,0.02
Id_2yyc8cscz1,0.17
Id_hko3gz0dk7,0.59
Id_wk20cknod9,0.18
Id_v021qhmpjd,0.09
Id_hqsrc0tikc,0.07
Id_c4emke5y04,0.44
Id_t3352uxc4i,0.04
Id_5z20x5e83v,0.53
Id_qdcud0yly8,0.33
Id_ww8zw7ae8a,0.02
Id_1y41yyh09p,0.58
Id_6gmks7pmqr,0.19
Id_hm2hws8vmx,0.53
Id_ffwi6hx95x,0.12
Id_wp4xaj2x44,0.23
Id_q9w6fjzuva,0.7
Id_4hi7as50nt,0.02
Id_e9mdtbubkh,0.02
Id_if24ufm5uj,0.07
Id_68ii10j2y5,0.13
Id_cba8vbwfcd,0.32
Id_5va26rv1po,0.03
Id_h2u5uz2c1i,0.04
Id_oi4y3y2j24,0.15
Id_if7xxvy5sy,0.44
Id_ul1tzww8yo,0.67
Id_g1zdjwg70b,0.46
Id_ymo26re9kq,0.14
Id_7i4g0dgq3g,0.34
Id_dtd4wertk3,0.04
Id_eduju9teke,0.44
Id_qua5ppnddr,0.01
Id_pgaf0nxrml,0.27
Id_mfkzmksvk8,0.38
Id_xae7uo6rns,0.15
Id_bg0pf0x0c9,0.21
Id_gqy88jh41f,0.27
Id_dulraax74m,0.25
Id_br9w5vf3nt,0.06
Id_hm4k3ett7c,0.57
Id_3wbyw2qsxx,0.19
Id_nhc76gnpfv,0.06
Id_g37tyo68ez,0.06
Id_doy6wdfgwc,0.99
Id_x9qspakya3,0.14
Id_y5ylohb28f,0.05
Id_3s41c0mnx9,0.02
Id_k0kz9yhugx,0.12
Id_akzn45zxlg,0.2
Id_bok3v4meui,0.25
Id_ewblr4rd31,0.16
Id_1f4emlzfpy,0.07
Id_zac62lf0f4,0.08
Id_ees03xjmrh,0.06
Id_j8hi427a46,0.13
Id_nozkcs7twh,0.2
Id_93odriaiv1,0.38
Id_y62g1mck08,0.1
Id_6afxcktqw3,0.02
Id_08vy6pqpmv,0.77
Id_tc3tuj0fq5,0.22
Id_p3i0pqdgzx,0.0
Id_f1juue66su,0.07
Id_xf03jzli4e,0.79
Id_xtkx7l92kq,0.1
Id_ates45a2p2,0.14
Id_i69rsluhrn,0.15
Id_obbeglowd7,0.11
Id_76sff0ftwb,0.04
Id_k1wvzkeibg,0.06
Id_cvppcu9dtk,0.0
Id_p21trnlm74,0.48
Id_x3003erpfp,0.17
Id_efdwgqd7ql,0.15
Id_lhsftcq0qj,0.05
Id_9w6y4d0f27,0.21
Id_jje2dldxrq,0.27
Id_8g7mpx73iu,0.04
Id_ystdo3wigm,0.4
Id_ywwcb8ps97,0.05
Id_8ez4xscjos,0.84
Id_2jf4w4j44j,0.25
Id_vxay7eegbi,0.09
Id_px50ejj10r,0.07
Id_tfgb0tyrty,0.27
Id_mthugifxui,0.01
Id_com4svhopi,0.27
Id_mm2lhjym5t,0.63
Id_g3g104pqzd,0.17
Id_1jffeuc1dj,0.16
Id_rhc2kl5g55,0.19
Id_am02p2tzuy,0.39
Id_regox32zxq,0.14
Id_6kf048eavy,0.03
Id_omknpzp2ak,0.01
Id_cenkqwdm7l,0.05
Id_ewipl8qtuw,0.93
Id_8577gbn0e7,0.96
Id_7om3250j9e,0.67
Id_xeuoeg20r1,0.76
Id_yvcri3cmts,0.94
Id_v7b4ypc0ij,0.09
Id_dwuchnvp2o,0.61
Id_m01a2wvxpr,0.64
Id_zm6vqjc3s4,0.53
Id_lts8qj5gtt,0.37
Id_d57wdfouya,0.13
Id_lp9rw55nuq,0.67
Id_kz201ybqy4,0.1
Id_bdapa7dbnr,0.02
Id_cku4oys9ly,0.43
Id_9imcpw90ws,0.01
Id_lg5hmsjw0w,0.09
Id_n2zxyp8ozp,0.18
Id_2dw9p45brs,0.04
Id_fullxeblop,0.87
Id_hn6w1c50jg,0.12
Id_202mo7k18v,0.32
Id_35iylanft2,0.23
Id_22rckhfu74,0.11
Id_05enka6e6k,0.32
Id_pa42qrnqsu,0.1
Id_2wyft9kpo6,0.42
Id_i7wm3hgav7,0.05
Id_g3g4yng0cp,0.93
Id_xkycggq6zr,0.02
Id_hry70yghdi,0.94
Id_7fe7yhjh8a,0.37
Id_q8vp7a6kvh,0.38
Id_hn7eljea0c,0.04
Id_cu46z0wtbn,0.03
Id_kf49u2owj9,0.35
Id_cwuqv2hemn,0.29
Id_uuoplcjhik,0.08
Id_xwef9758c0,0.85
Id_bbdpuc13mt,0.26
Id_qm5zbv3dqs,0.15
Id_xc458zxp8n,0.02
Id_5dlzzvzu7z,0.69
Id_vvh9x2jhmz,0.68
Id_a3lsvoib9e,0.46
Id_eqm83ic4m9,0.01
Id_xy20frex7o,0.26
Id_0d0fcqrqiz,0.01
Id_i6wj4m9x2n,0.09
Id_puhqi47sl7,0.17
Id_fzd6uelqdt,0.15
Id_dapxuyl0kv,0.38
Id_3688t4ltez,0.17
Id_6ydbe8k1k0,0.43
Id_nrqsdlmxxh,0.93
Id_mxn6qtsna1,0.1
Id_ml1zx0y5gl,0.01
Id_fhkjr8dykn,0.35
Id_n5sq52hdoj,0.0
Id_0uxhybtjl5,0.92
Id_kzh96q88bd,0.55
Id_yaqxnrvpyo,0.4
Id_15qd9nbtr6,0.03
Id_x3vu0lmdqz,0.05
Id_s1sfh8q0sm,0.43
Id_j39rsaxv9x,0.09
Id_ev1om3wblh,0.39
Id_b5wmhiambg,0.01
Id_8dsaqx95t7,0.49
Id_ck3rnbfyjh,0.16
Id_3dzfgus94r,0.01
Id_hj5xxk235f,0.03
Id_hi2aqujzip,0.03
Id_v3uyrexc6m,0.41
Id_huysuslo7o,0.12
Id_9esczul5fq,0.23
Id_brx4sdpwsz,0.43
Id_wnc5dh98ow,0.51
Id_bkrytf6qpo,0.91
Id_zuxemjeq2j,0.16
Id_zh1vstq7xy,0.08
Id_njjyxihirh,0.1
Id_22hadf3npm,0.34
Id_621yyrkbc7,0.27
Id_3yod0o903z,0.15
Id_f6thdicfx1,0.09
Id_cfxbc8mxa6,0.97
Id_t393kw7t4u,0.0
Id_oikc88k6ov,0.03
Id_mk1iyktjj3,0.24
Id_ukmg1fe4sl,0.09
Id_fiuzxwgwzi,0.09
Id_e9t73zgn0x,0.27
Id_igjbc2jy5h,0.85
Id_fiav3fj5n5,0.0
Id_f61doydnaq,0.04
Id_cvoeaetwe4,0.05
Id_9ldafk3nlj,0.43
Id_exyiv8agqe,0.49
Id_b5ywcspu1f,0.39
Id_0g3knr7fvs,0.0
Id_15al9kmkcd,0.37
Id_7ab67qxfiv,0.17
Id_z3qdnmn9q3,0.29
Id_305ozjzlmz,0.03
Id_709j8qrxat,0.01
Id_haeujusld6,0.89
Id_96borhxbpv,0.11
Id_ro2jwdd5uy,0.47
Id_1tcfd92lk2,0.86
Id_pbox0fm3u1,0.13
Id_ihiolzdxna,0.0
Id_579iqpzqyj,0.66
Id_2r1y11q0wg,0.11
Id_7ak4adbl14,0.98
Id_g0u6gnx5nw,0.37
Id_pn7b3mle90,0.91
Id_da6ucbymhn,0.09
Id_71takmxtrb,0.24
Id_nkydwcxn12,0.42
Id_iyfanduv8b,0.33
Id_24c1l1s9zx,0.19
Id_437ct6woog,0.28
Id_v27wecgq4s,0.41
Id_9axn3nt95a,0.76
Id_qrq5r4b5dm,0.12
Id_x5tnpkztq1,0.0
Id_nztfqrdo22,0.14
Id_7552lew1q1,0.09
Id_jrqihfiq2h,0.12
Id_b50jkim5jh,0.04
Id_thgq2lugpt,0.94
Id_p97gank3cu,0.3
Id_8xszxps51i,0.05
Id_tkjcu68b01,0.25
Id_8w8v64w1f8,0.43
Id_9j6oz47vrp,0.89
Id_v54hrl88y4,0.79
Id_guwgy0cwxr,0.02
Id_uhcxp80o0x,0.52
Id_97cyn3fkhz,0.25
Id_flag8ua59u,0.06
Id_lzokvnie26,0.13
Id_n4smd098fw,0.17
Id_7vzcodqv1j,0.12
Id_dy3havgfuv,0.32
Id_2fidc6cwxn,0.23
Id_dy472n1q3i,0.45
Id_2zt6m5f4bk,0.93
Id_abbnvg2xjt,0.5
Id_719gfq4bbi,0.32
Id_yfqugxq06s,0.35
Id_vu6u2fxprn,0.87
Id_njn0ugszro,0.03
Id_kppmeqk94s,0.0
Id_4sdwxg4xnm,0.04
Id_jt7uxijhw0,0.34
Id_4x8raqjq7i,0.11
Id_oyv68u1dkm,0.56
Id_dbjse28978,0.09
Id_ch330vmids,0.0
Id_vao287hv1f,0.02
Id_nxhzqujll0,0.33
Id_h890qicmt0,0.03
Id_y4dq6mmmjf,0.03
Id_7wr8uj9wpr,0.01
Id_g01k9ahzh3,0.22
Id_8lo88bta3q,0.85
Id_6obelhudu6,0.2
Id_kftu3l7kkd,0.09
Id_m8ypin55mz,0.28
Id_u1ud8oazwu,0.07
Id_1bmknryhxc,0.08
Id_s3u21bcs1c,0.23
Id_163j6do8dt,0.4
Id_oekesrl5t0,0.18
Id_u7jkl2wpl0,0.38
Id_11yb4rk8vf,0.11
Id_7y3m47la6q,0.04
Id_7jp21wo3de,0.1
Id_miynvej6a2,0.36
Id_hfx1xp53p3,0.14
Id_72uxatoazr,0.12
Id_elioph6w1f,0.62
Id_1ke76rdjje,0.74
Id_t46minskam,0.0
Id_z2c8otk2yi,0.49
Id_q2uovpqmk6,0.08
Id_3kka933aho,0.12
Id_r4addjw4vt,0.02
Id_83ogv0svuf,0.04
Id_sbls3y3jvy,0.91
Id_moi9rocisn,0.97
Id_499rp0shg1,0.79
Id_ts5usvwfm7,0.07
Id_y781z197gs,0.03
Id_ew2x9yz4vb,0.09
Id_1ieb8g8r81,0.16
Id_vquuzwxkik,0.34
Id_ta4y7cah3j,0.2
Id_wxdmdg9jrq,0.06
Id_6ka99fa5no,0.48
Id_q12cz2jc14,0.16
Id_4w1htscb4b,0.35
Id_rggoin2c2h,0.04
Id_zsiel1ur1j,0.57
Id_3l8s6ervkx,0.47
Id_yazfl678oi,0.21
Id_m5wcqlbcog,0.02
Id_pndgc7t373,0.02
Id_1inopgvldd,0.96
Id_1wfithj70z,0.97
Id_v2xpbbokwo,0.93
Id_12d1frupv6,0.65
Id_pc3devko6x,0.07
Id_yvfnf3q60v,0.42
Id_homohwddj7,0.03
Id_p5nvctj90i,0.91
Id_x0ngpknxvm,0.31
Id_zzhr5kss7u,0.26
Id_eizv1bpafl,0.27
Id_tketya3hfr,0.11
Id_liytd8x7gm,0.21
Id_lc3hqzvi1x,0.07
Id_igm4l77gpu,0.04
Id_jsbg9ole3f,0.6
Id_t5l5zo1kfq,0.06
Id_goh7o5pwyv,0.02
Id_l2s6fptvq8,0.33
Id_yzhvn8vj9e,0.71
Id_z47s7oahoq,0.26
Id_30kc8ah8wl,0.06
Id_lavsin2msb,0.03
Id_wbbwoageaa,0.25
Id_2ccffioleh,0.31
Id_v61ik1uco2,0.24
Id_rm03xq0505,0.08
Id_x8gdvql2fg,0.07
Id_iwjxxb9h34,0.2
Id_c6pqbm2wyv,0.0
Id_4vnrr3s4uy,0.11
Id_ownel7ybnk,0.51
Id_vj9dcqpu9e,0.63
Id_iuzhycb1vq,0.97
Id_spcat8solh,0.63
Id_yvvmhb6w1e,0.05
Id_6vvoczahnx,0.02
Id_3dbjfbfs00,0.02
Id_49pusliygy,0.13
Id_nftpsfd9pk,0.04
Id_m2s3otb4jj,0.03
Id_aj8rsxem3u,0.68
Id_ofbcp8wusw,0.04
Id_jjnj2byia3,0.25
Id_3kqkvikuvl,0.12
Id_tsu6b1cq8p,0.39
Id_v0nvzynpqm,0.81
Id_j1opc4pyxd,0.86
Id_i60entnyr2,0.06
Id_77rsnxhav0,0.74
Id_vsglsglgqw,0.32
Id_uu9ehvzpq1,0.01
Id_vk54crp1l4,0.39
Id_vurpswv3mx,0.11
Id_jfclrhuqma,0.17
Id_mmb0y6hjco,0.09
Id_pgajp6ywv5,0.03
Id_62uu70ow4r,0.1
Id_ep1sr4nzew,0.14
Id_joim66605n,0.05
Id_nodq5cuy4m,0.28
Id_jhrgnstlo8,0.45
Id_pj2uohkt3l,0.03
Id_ooa89het6b,0.02
