Person_id,Survey_date,round,status,tenure,geography,province,schoolquintile,additional_lang,home_lang,science,female,sa_citizen,Birthyear,Birthmonth,Target,mathf,mathlitf,math_achieved,mathlit_achieved,educ,year,age
Id_eqz61wz7yn,2/23/2022,2,studying,,Rural,Mpumalanga,3,50 - 59 %,,0 - 29 %,1,1,2000,5,0,0,0,0,0,1,2022,22
Id_kj5k3g5wud,2/6/2023,4,unemployed,427,Suburb,North West,1,40 - 49 %,,30 - 39 %,1,1,1989,4,1,1,0,0,0,1,2023,34
Id_9h0isj38y4,8/8/2022,3,other,,Urban,Free State,,40 - 49 %,,30 - 39 %,0,1,1996,7,1,1,0,0,0,1,2022,26
Id_5ch3zwpdef,3/16/2022,2,unemployed,810,Urban,Eastern Cape,,,,,0,1,2000,1,0,0,0,,,0,2022,22
Id_g4elxibjej,3/22/2023,4,studying,,Urban,Limpopo,,,,,1,1,1998,12,0,0,0,,,0,2023,25
Id_l9uksprsdf,3/23/2023,4,studying,,Rural,KwaZulu-Natal,,,,,1,1,1996,12,0,0,0,,,0,2023,27
Id_o873eizyxq,2/28/2023,4,unemployed,1826,Urban,Mpumalanga,2,60 - 69 %,,40 - 49 %,1,1,2000,1,0,1,0,0,0,1,2023,23
Id_snwm3eylks,2/28/2023,4,unemployed,462,Urban,Mpumalanga,3,,,,0,1,1997,1,0,0,0,0,0,0,2023,26
Id_xfbqnyzvov,2/9/2023,4,wage employed,273,Urban,KwaZulu-Natal,1,60 - 69 %,,30 - 39 %,0,1,2000,1,0,0,0,0,0,1,2023,23
Id_mj4hcy8x75,3/1/2023,4,self employed,1859,Rural,Limpopo,,,,,0,1,1991,4,1,0,0,,,0,2023,32
Id_h7gc4tnjg4,8/10/2022,3,other,,Urban,Gauteng,2,50 - 59 %,,40 - 49 %,1,1,1999,9,1,1,0,0,0,1,2022,23
Id_nnrpawrczv,2/23/2022,2,unemployed,736,Urban,Limpopo,1,40 - 49 %,,30 - 39 %,1,1,1992,3,0,1,0,0,0,1,2022,30
Id_x5fkg0l401,8/19/2021,1,studying,,Urban,KwaZulu-Natal,4,60 - 69 %,,60 - 69 %,0,1,1998,9,1,1,0,0,0,1,2021,23
Id_syk9ubb0fi,8/19/2021,1,wage employed,0,Suburb,Mpumalanga,1,,,,0,1,1987,12,0,0,0,0,0,0,2021,34
Id_zaol8djev9,3/2/2022,2,unemployed,796,Urban,KwaZulu-Natal,,70 - 79 %,,30 - 39 %,0,1,2000,12,0,1,0,0,0,1,2022,22
Id_j028yx8q4y,8/18/2021,1,self employed,2181,Urban,Free State,3,40 - 49 %,,,1,1,1989,11,1,0,0,0,0,1,2021,32
Id_0znjq6ybh6,7/28/2022,3,self employed,1527,Urban,Gauteng,5,,40 - 49 %,,0,1,2000,5,1,0,1,0,0,1,2022,22
Id_qwzzy053ij,2/28/2022,2,studying,,Urban,Free State,1,30 - 39 %,,30 - 39 %,0,1,1994,6,1,1,0,0,0,1,2022,28
Id_p9215a0s3n,8/12/2022,3,other,,Urban,Western Cape,,60 - 69 %,,,1,1,1999,10,1,0,1,0,0,1,2022,23
Id_qssqo87bxo,3/3/2022,2,unemployed,0,Urban,North West,1,50 - 59 %,,,1,1,2000,1,1,0,1,0,0,1,2022,22
Id_pasuq7vzqx,3/11/2022,2,unemployed,461,Rural,Mpumalanga,3,50 - 59 %,,0 - 29 %,1,1,2000,1,0,1,0,0,0,1,2022,22
Id_v9hd6vf2zj,2/15/2023,4,unemployed,2593,Urban,KwaZulu-Natal,,,,,1,1,1994,1,0,0,0,0,0,0,2023,29
Id_sbqyyc6c6z,3/23/2023,4,studying,,Urban,KwaZulu-Natal,,,,,1,1,1999,8,0,0,0,,,0,2023,24
Id_icpsk4fk4m,2/20/2023,4,self employed,,Urban,Gauteng,4,,40 - 49 %,,0,1,2001,3,0,0,1,0,0,1,2023,22
Id_pk6yf9ymk9,3/8/2022,2,unemployed,1532,Rural,Gauteng,3,60 - 69 %,,30 - 39 %,1,1,1993,11,0,1,0,0,0,1,2022,29
Id_1vnhqk5dv4,8/11/2022,3,studying,,Urban,Gauteng,,,,,0,1,2003,12,0,0,0,,,0,2022,19
Id_a4g4inxt9b,8/3/2022,3,unemployed,217,Urban,KwaZulu-Natal,,,,,1,1,1993,11,0,0,0,,,0,2022,29
Id_mgs7xx0z7x,3/7/2022,2,employment programme,790,Urban,Gauteng,5,,50 - 59 %,,0,1,2000,1,0,0,1,0,0,1,2022,22
Id_zk43y06kue,3/22/2023,4,wage employed,641,Suburb,Limpopo,2,50 - 59 %,,,1,1,1998,1,0,0,1,0,0,1,2023,25
Id_q5p3xwzvgj,2/25/2022,2,unemployed,951,Urban,Eastern Cape,3,,,,0,1,1987,9,0,0,0,0,0,0,2022,35
Id_la2wedbqnn,2/13/2023,4,wage employed,334,Rural,North West,,50 - 59 %,,,1,1,2000,1,0,0,1,0,0,1,2023,23
Id_dsokj518i3,2/9/2023,4,unemployed,250,Rural,Limpopo,,,,,1,1,1997,9,0,0,0,,,0,2023,26
Id_fvro19s1he,3/15/2023,4,studying,,Rural,Mpumalanga,,60 - 69 %,,,1,1,2000,6,0,0,0,0,0,3,2023,23
Id_2fqa1fu25o,8/11/2022,3,other,,Rural,KwaZulu-Natal,,,,,0,1,1997,10,1,0,0,,,0,2022,25
Id_agwy8xs4xf,3/15/2022,2,unemployed,827,Urban,Eastern Cape,3,40 - 49 %,,,1,1,2000,1,0,0,1,0,0,1,2022,22
Id_3gzmmiavue,8/19/2021,1,studying,,Rural,Limpopo,1,50 - 59 %,,30 - 39 %,0,1,1992,1,1,1,0,0,0,1,2021,29
Id_3q21nanivx,8/10/2022,3,other,,Rural,KwaZulu-Natal,0,50 - 59 %,,,1,1,1988,10,1,0,1,0,0,1,2022,34
Id_0rhx3682ay,3/14/2022,2,unemployed,522,Urban,KwaZulu-Natal,,50 - 59 %,,30 - 39 %,1,1,2000,1,0,1,0,0,0,1,2022,22
Id_1fw74rpdkq,8/13/2021,1,employment programme,0,Urban,Mpumalanga,4,,,,0,1,1993,8,0,0,0,0,0,1,2021,28
Id_6o859785c2,2/24/2022,2,unemployed,1186,Urban,Gauteng,3,40 - 49 %,,,1,1,1994,7,0,0,1,0,0,1,2022,28
Id_7nma832cqs,2/9/2023,4,wage employed,61,Urban,Gauteng,4,,40 - 49 %,,0,1,2000,1,0,0,1,0,0,1,2023,23
Id_j2its5w6qo,2/8/2023,4,unemployed,401,Suburb,Limpopo,,,,,0,1,2001,10,0,0,0,,,0,2023,22
Id_daalwjcazp,2/13/2023,4,unemployed,67,Urban,KwaZulu-Natal,,,,,0,1,2003,11,0,0,0,,,0,2023,20
Id_wbnw35rvs2,3/7/2022,2,studying,,Urban,Western Cape,2,40 - 49 %,,,0,1,2000,1,0,0,1,0,0,1,2022,22
Id_gqbituoecf,2/13/2023,4,unemployed,67,Urban,KwaZulu-Natal,,,,,0,1,2004,6,0,0,0,,,0,2023,19
Id_levl92lmn7,2/10/2023,4,wage employed,304,Urban,Northern Cape,,50 - 59 %,,,0,1,2000,1,1,0,1,0,0,1,2023,23
