iter	Passed	Remaining
0	176	353449
1	191	191408
2	208	138802
3	225	112694
4	240	95872
5	255	84944
6	270	76964
7	285	71093
8	301	66713
9	316	62925
10	331	59903
11	346	57384
12	361	55262
13	376	53420
14	391	51831
15	406	50354
16	423	49416
17	441	48574
18	455	47483
19	468	46363
20	482	45453
21	496	44664
22	511	43956
23	525	43277
24	538	42536
25	553	42044
26	569	41581
27	583	41084
28	597	40606
29	611	40186
30	626	39774
31	640	39400
32	654	38987
33	668	38635
34	682	38297
35	697	38035
36	711	37735
37	725	37465
38	739	37172
39	753	36928
40	768	36700
41	782	36474
42	796	36254
43	810	36035
44	825	35846
45	839	35649
46	852	35443
47	867	35291
48	881	35115
49	895	34930
50	909	34763
51	924	34618
52	937	34431
53	950	34252
54	964	34099
55	979	33994
56	993	33858
57	1007	33734
58	1023	33659
59	1038	33580
60	1052	33462
61	1066	33351
62	1080	33219
63	1094	33105
64	1108	33010
65	1122	32887
66	1137	32811
67	1151	32716
68	1165	32611
69	1180	32538
70	1194	32441
71	1209	32384
72	1220	32226
73	1235	32161
74	1250	32102
75	1264	32004
76	1271	31756
77	1287	31725
78	1302	31662
79	1316	31593
80	1331	31554
81	1347	31528
82	1364	31515
83	1378	31432
84	1392	31366
85	1405	31278
86	1419	31206
87	1432	31126
88	1446	31067
89	1461	31013
90	1474	30938
91	1489	30881
92	1506	30887
93	1523	30888
94	1539	30866
95	1554	30828
96	1568	30762
97	1581	30699
98	1595	30639
99	1609	30571
100	1621	30486
101	1635	30439
102	1649	30383
103	1663	30325
104	1678	30294
105	1694	30281
106	1708	30224
107	1722	30177
108	1736	30130
109	1750	30083
110	1765	30036
111	1778	29988
112	1793	29950
113	1800	29785
114	1815	29751
115	1829	29714
116	1844	29684
117	1859	29660
118	1874	29622
119	1888	29585
120	1893	29398
121	1908	29375
122	1922	29332
123	1937	29316
124	1953	29300
125	1967	29264
126	1974	29122
127	1988	29077
128	2002	29045
129	2016	29007
130	2030	28969
131	2044	28936
132	2059	28905
133	2073	28879
134	2093	28925
135	2107	28891
136	2122	28860
137	2137	28837
138	2146	28735
139	2153	28607
140	2168	28584
141	2182	28560
142	2196	28529
143	2212	28515
144	2226	28481
145	2240	28450
146	2254	28419
147	2269	28393
148	2283	28368
149	2297	28340
150	2312	28319
151	2327	28298
152	2342	28275
153	2359	28279
154	2372	28244
155	2379	28128
156	2394	28104
157	2405	28043
158	2419	28016
159	2434	27996
160	2441	27892
161	2454	27849
162	2469	27825
163	2482	27797
164	2496	27761
165	2510	27741
166	2528	27750
167	2541	27718
168	2546	27587
169	2559	27552
170	2574	27531
171	2588	27514
172	2603	27496
173	2619	27488
174	2633	27462
175	2646	27431
176	2661	27413
177	2675	27386
178	2689	27365
179	2705	27357
180	2721	27349
181	2737	27342
182	2752	27326
183	2766	27303
184	2780	27274
185	2795	27262
186	2810	27250
187	2825	27233
188	2840	27217
189	2855	27202
190	2870	27185
191	2885	27170
192	2892	27080
193	2908	27076
194	2925	27077
195	2943	27092
196	2958	27077
197	2971	27039
198	2986	27024
199	3000	27008
200	3015	26992
201	3031	26987
202	3047	26981
203	3065	26986
204	3080	26969
205	3095	26959
206	3109	26937
207	3124	26919
208	3139	26905
209	3154	26885
210	3168	26868
211	3183	26846
212	3197	26826
213	3211	26804
214	3226	26784
215	3241	26768
216	3256	26755
217	3274	26766
218	3313	26949
219	3328	26932
220	3344	26920
221	3359	26907
222	3373	26884
223	3388	26866
224	3404	26859
225	3411	26782
226	3426	26762
227	3437	26713
228	3452	26702
229	3467	26686
230	3481	26659
231	3495	26639
232	3511	26628
233	3526	26616
234	3541	26602
235	3556	26582
236	3565	26525
237	3579	26503
238	3594	26482
239	3608	26459
240	3617	26402
241	3631	26379
242	3645	26358
243	3660	26340
244	3674	26323
245	3681	26252
246	3697	26238
247	3711	26220
248	3726	26208
249	3741	26188
250	3754	26163
251	3768	26142
252	3783	26128
253	3798	26111
254	3813	26094
255	3827	26074
256	3842	26061
257	3858	26053
258	3873	26040
259	3889	26028
260	3904	26013
261	3918	25994
262	3935	25994
263	3950	25975
264	3965	25964
265	3981	25954
266	3997	25946
267	4012	25931
268	4020	25870
269	4034	25848
270	4048	25827
271	4062	25807
272	4077	25791
273	4092	25776
274	4106	25761
275	4121	25746
276	4135	25725
277	4151	25714
278	4165	25697
279	4182	25695
280	4191	25642
